scene_name,occlusions,recovered,switches,total_matches,lambda,idrr
scene-0061,995,180,1448,4670,0.0,18.090452261306535
scene-0103,577,90,796,2081,0.0,15.597920277296359
scene-0553,82,54,141,1987,0.0,65.85365853658537
scene-0655,698,92,726,2373,0.0,13.18051575931232
scene-0757,143,20,155,602,0.0,13.986013986013987
scene-0061,972,165,884,4699,2.0,16.97530864197531
scene-0103,487,82,449,2088,2.0,16.83778234086242
scene-0553,72,54,59,1991,2.0,75.0
scene-0655,669,91,619,2373,2.0,13.602391629297458
scene-0757,122,21,113,604,2.0,17.21311475409836
